"Sex","Yr","date","yday","Site","Mass"
1,1995,1995-05-30,150,"Texel",387
2,1995,1995-05-30,150,"Texel",475
2,1995,1995-05-30,150,"Texel",444
1,1996,1996-05-03,124,"Ijsselmeer_kust",217
1,1996,1996-05-03,124,"Ijsselmeer_kust",232
2,1996,1996-05-06,127,"Friese_kust",270
2,1996,1996-05-08,129,"Friese_kust",353
1,1996,1996-05-11,132,"Friese_kust",310
1,1996,1996-05-11,132,"Friese_kust",273
1,1996,1996-05-11,132,"Friese_kust",278
1,1996,1996-05-11,132,"Friese_kust",238
1,1996,1996-05-11,132,"Texel",276
1,1996,1996-05-11,132,"Texel",291
1,1996,1996-05-11,132,"Texel",216
2,1996,1996-05-11,132,"Texel",303
1,1996,1996-05-11,132,"Friese_kust",248
1,1996,1996-05-11,132,"Friese_kust",240
2,1996,1996-05-11,132,"Friese_kust",250
2,1996,1996-05-11,132,"Friese_kust",290
1,1996,1996-05-11,132,"Friese_kust",253
1,1996,1996-05-13,134,"Friese_kust",370
1,1996,1996-05-13,134,"Friese_kust",338
1,1996,1996-05-13,134,"Texel",268
1,1996,1996-05-13,134,"Texel",222
1,1996,1996-05-13,134,"Friese_kust",283
2,1996,1996-05-13,134,"Texel",227
2,1996,1996-05-13,134,"Texel",294
1,1996,1996-05-13,134,"Texel",233
2,1996,1996-05-13,134,"Friese_kust",328
2,1996,1996-05-13,134,"Friese_kust",355
1,1996,1996-05-14,135,"Texel",288
1,1996,1996-05-14,135,"Texel",297
1,1996,1996-05-14,135,"Texel",365
1,1996,1996-05-14,135,"Texel",273
1,1996,1996-05-14,135,"Texel",337
2,1996,1996-05-14,135,"Texel",395
2,1996,1996-05-14,135,"Texel",354
2,1996,1996-05-14,135,"Texel",400
2,1996,1996-05-14,135,"Texel",444
2,1996,1996-05-14,135,"Texel",380
2,1996,1996-05-14,135,"Texel",345
2,1996,1996-05-14,135,"Texel",273
2,1996,1996-05-14,135,"Texel",380
1,1996,1996-05-14,135,"Texel",323
1,1996,1996-05-14,135,"Texel",302
1,1996,1996-05-14,135,"Texel",256
1,1996,1996-05-14,135,"Texel",288
1,1996,1996-05-16,137,"Friese_kust",338
1,1996,1996-05-16,137,"Friese_kust",318
1,1996,1996-05-16,137,"Friese_kust",322
1,1996,1996-05-16,137,"Friese_kust",315
1,1996,1996-05-16,137,"Friese_kust",370
1,1996,1996-05-16,137,"Friese_kust",285
1,1996,1996-05-16,137,"Friese_kust",318
1,1996,1996-05-16,137,"Friese_kust",280
1,1996,1996-05-16,137,"Friese_kust",296
