"Site","countdate","d","m","Year","obshours","south","north","Date","Duration","count_per_hour","yday"
1,"2005-05-13",13,5,2005,"16:15:00",0,133,2005-05-13,16.25,8.18461538461538,133
1,"2005-05-12",12,5,2005,"15:00:00",0,76,2005-05-12,15,5.06666666666667,132
1,"2005-04-25",25,4,2005,"06:00:00",0,4,2005-04-25,6,0.666666666666667,115
429,"2005-04-17",17,4,2005,"02:00:00",0,4,2005-04-17,2,2,107
429,"2005-05-09",9,5,2005,"03:00:00",0,95,2005-05-09,3,31.6666666666667,129
97,"2005-05-08",8,5,2005,"01:00:00",0,2,2005-05-08,1,2,128
429,"2005-05-10",10,5,2005,"03:00:00",0,72,2005-05-10,3,24,130
159,"2005-04-26",26,4,2005,"01:00:00",0,86,2005-04-26,1,86,116
97,"2005-04-15",15,4,2005,"01:00:00",0,14,2005-04-15,1,14,105
29,"2005-05-06",6,5,2005,"07:00:00",0,99,2005-05-06,7,14.1428571428571,126
